interface,model,task_id,total_search_invocations,total_elements_retrieved
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Add_To_Cart_Task1,1,15
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Add_To_Cart_Task2,1,15
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Add_To_Cart_Task3,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Add_To_Cart_Task4,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Add_To_Cart_Task5,1,15
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Add_To_Cart_Task6,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Add_To_Cart_Task7,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Best_Fit_Specific_Task1,5,135
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Best_Fit_Specific_Task10,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Best_Fit_Specific_Task11,4,130
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Best_Fit_Specific_Task2,1,50
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Best_Fit_Specific_Task3,2,45
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Best_Fit_Specific_Task4,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Best_Fit_Specific_Task5,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Best_Fit_Specific_Task6,10,325
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Best_Fit_Specific_Task7,2,60
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Best_Fit_Specific_Task8,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Best_Fit_Specific_Task9,6,280
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Best_Fit_Vague_Task1,2,45
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Best_Fit_Vague_Task2,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Best_Fit_Vague_Task3,7,260
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Best_Fit_Vague_Task4,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Best_Fit_Vague_Task5,8,330
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Best_Fit_Vague_Task6,15,415
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Best_Fit_Vague_Task7,0,0
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Best_Fit_Vague_Task8,3,70
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Cheapest_Best_Fit_Specific_Task1,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Cheapest_Best_Fit_Specific_Task10,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Cheapest_Best_Fit_Specific_Task2,3,90
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Cheapest_Best_Fit_Specific_Task3,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Cheapest_Best_Fit_Specific_Task4,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Cheapest_Best_Fit_Specific_Task5,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Cheapest_Best_Fit_Specific_Task6,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Cheapest_Best_Fit_Specific_Task7,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Cheapest_Best_Fit_Specific_Task8,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Cheapest_Best_Fit_Specific_Task9,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Cheapest_Best_Fit_Vague_Task1,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Cheapest_Best_Fit_Vague_Task2,2,45
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Cheapest_Best_Fit_Vague_Task3,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Cheapest_Best_Fit_Vague_Task4,8,170
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Cheapest_Best_Fit_Vague_Task5,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Cheapest_Best_Fit_Vague_Task6,2,60
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Cheapest_Product_Search_Task1,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Cheapest_Product_Search_Task10,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Cheapest_Product_Search_Task2,4,105
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Cheapest_Product_Search_Task3,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Cheapest_Product_Search_Task4,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Cheapest_Product_Search_Task5,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Cheapest_Product_Search_Task6,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Cheapest_Product_Search_Task7,6,180
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Cheapest_Product_Search_Task8,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Cheapest_Product_Search_Task9,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Checkout_Task1,0,0
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Checkout_Task2,1,10
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Checkout_Task3,0,0
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Checkout_Task4,0,0
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Checkout_Task5,0,0
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Checkout_Task6,0,0
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Checkout_Task7,0,0
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Checkout_Task8,0,0
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_EndToEnd_Task1,1,15
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_EndToEnd_Task2,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_EndToEnd_Task3,2,50
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_EndToEnd_Task4,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_EndToEnd_Task5,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_EndToEnd_Task6,1,15
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_EndToEnd_Task7,2,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_EndToEnd_Task8,2,60
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Find_Compatible_Products_Task1,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Find_Compatible_Products_Task2,3,90
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Find_Compatible_Products_Task3,3,90
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Find_Compatible_Products_Task4,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Find_Compatible_Products_Task5,1,15
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Single_Product_Search_Task1,1,15
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Single_Product_Search_Task10,3,160
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Single_Product_Search_Task11,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Single_Product_Search_Task12,1,15
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Single_Product_Search_Task2,1,20
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Single_Product_Search_Task3,2,45
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Single_Product_Search_Task4,1,15
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Single_Product_Search_Task5,2,45
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Single_Product_Search_Task6,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Single_Product_Search_Task7,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Single_Product_Search_Task8,1,15
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Single_Product_Search_Task9,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Substitutes_Task1,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Substitutes_Task2,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Substitutes_Task3,8,260
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Substitutes_Task4,1,30
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Substitutes_Task5,9,270
benchmark_results_20251024_163033.json,gpt-5-mini,Webmall_Substitutes_Task6,1,30
