interface,model,task_id,total_search_invocations,total_elements_retrieved
gpt-5,gpt-5,Webmall_Add_To_Cart_Task1,1,15
gpt-5,gpt-5,Webmall_Add_To_Cart_Task2,1,15
gpt-5,gpt-5,Webmall_Add_To_Cart_Task3,1,15
gpt-5,gpt-5,Webmall_Add_To_Cart_Task4,1,15
gpt-5,gpt-5,Webmall_Add_To_Cart_Task5,1,15
gpt-5,gpt-5,Webmall_Add_To_Cart_Task6,1,15
gpt-5,gpt-5,Webmall_Add_To_Cart_Task7,1,15
gpt-5,gpt-5,Webmall_Best_Fit_Specific_Task1,1,30
gpt-5,gpt-5,Webmall_Best_Fit_Specific_Task10,1,30
gpt-5,gpt-5,Webmall_Best_Fit_Specific_Task11,1,30
gpt-5,gpt-5,Webmall_Best_Fit_Specific_Task2,2,60
gpt-5,gpt-5,Webmall_Best_Fit_Specific_Task3,1,30
gpt-5,gpt-5,Webmall_Best_Fit_Specific_Task4,1,30
gpt-5,gpt-5,Webmall_Best_Fit_Specific_Task5,1,15
gpt-5,gpt-5,Webmall_Best_Fit_Specific_Task6,2,45
gpt-5,gpt-5,Webmall_Best_Fit_Specific_Task7,1,20
gpt-5,gpt-5,Webmall_Best_Fit_Specific_Task8,2,45
gpt-5,gpt-5,Webmall_Best_Fit_Specific_Task9,4,120
gpt-5,gpt-5,Webmall_Best_Fit_Vague_Task1,1,15
gpt-5,gpt-5,Webmall_Best_Fit_Vague_Task2,1,30
gpt-5,gpt-5,Webmall_Best_Fit_Vague_Task3,1,30
gpt-5,gpt-5,Webmall_Best_Fit_Vague_Task4,1,30
gpt-5,gpt-5,Webmall_Best_Fit_Vague_Task5,2,60
gpt-5,gpt-5,Webmall_Best_Fit_Vague_Task6,2,30
gpt-5,gpt-5,Webmall_Best_Fit_Vague_Task7,1,30
gpt-5,gpt-5,Webmall_Best_Fit_Vague_Task8,1,15
gpt-5,gpt-5,Webmall_Cheapest_Best_Fit_Specific_Task1,1,15
gpt-5,gpt-5,Webmall_Cheapest_Best_Fit_Specific_Task10,1,15
gpt-5,gpt-5,Webmall_Cheapest_Best_Fit_Specific_Task2,1,15
gpt-5,gpt-5,Webmall_Cheapest_Best_Fit_Specific_Task3,1,15
gpt-5,gpt-5,Webmall_Cheapest_Best_Fit_Specific_Task4,1,15
gpt-5,gpt-5,Webmall_Cheapest_Best_Fit_Specific_Task5,1,15
gpt-5,gpt-5,Webmall_Cheapest_Best_Fit_Specific_Task6,1,15
gpt-5,gpt-5,Webmall_Cheapest_Best_Fit_Specific_Task7,1,30
gpt-5,gpt-5,Webmall_Cheapest_Best_Fit_Specific_Task8,1,15
gpt-5,gpt-5,Webmall_Cheapest_Best_Fit_Specific_Task9,1,15
gpt-5,gpt-5,Webmall_Cheapest_Best_Fit_Vague_Task1,2,60
gpt-5,gpt-5,Webmall_Cheapest_Best_Fit_Vague_Task2,2,45
gpt-5,gpt-5,Webmall_Cheapest_Best_Fit_Vague_Task3,1,15
gpt-5,gpt-5,Webmall_Cheapest_Best_Fit_Vague_Task4,5,75
gpt-5,gpt-5,Webmall_Cheapest_Best_Fit_Vague_Task5,1,15
gpt-5,gpt-5,Webmall_Cheapest_Best_Fit_Vague_Task6,1,15
gpt-5,gpt-5,Webmall_Cheapest_Product_Search_Task1,1,15
gpt-5,gpt-5,Webmall_Cheapest_Product_Search_Task10,1,15
gpt-5,gpt-5,Webmall_Cheapest_Product_Search_Task2,1,15
gpt-5,gpt-5,Webmall_Cheapest_Product_Search_Task3,1,15
gpt-5,gpt-5,Webmall_Cheapest_Product_Search_Task4,1,15
gpt-5,gpt-5,Webmall_Cheapest_Product_Search_Task5,1,15
gpt-5,gpt-5,Webmall_Cheapest_Product_Search_Task6,1,15
gpt-5,gpt-5,Webmall_Cheapest_Product_Search_Task7,2,45
gpt-5,gpt-5,Webmall_Cheapest_Product_Search_Task8,1,15
gpt-5,gpt-5,Webmall_Cheapest_Product_Search_Task9,1,15
gpt-5,gpt-5,Webmall_Checkout_Task1,0,0
gpt-5,gpt-5,Webmall_Checkout_Task2,0,0
gpt-5,gpt-5,Webmall_Checkout_Task3,0,0
gpt-5,gpt-5,Webmall_Checkout_Task4,0,0
gpt-5,gpt-5,Webmall_Checkout_Task5,0,0
gpt-5,gpt-5,Webmall_Checkout_Task6,0,0
gpt-5,gpt-5,Webmall_Checkout_Task7,0,0
gpt-5,gpt-5,Webmall_Checkout_Task8,0,0
gpt-5,gpt-5,Webmall_EndToEnd_Task1,1,12
gpt-5,gpt-5,Webmall_EndToEnd_Task2,1,15
gpt-5,gpt-5,Webmall_EndToEnd_Task3,2,30
gpt-5,gpt-5,Webmall_EndToEnd_Task4,1,15
gpt-5,gpt-5,Webmall_EndToEnd_Task5,1,15
gpt-5,gpt-5,Webmall_EndToEnd_Task6,1,15
gpt-5,gpt-5,Webmall_EndToEnd_Task7,2,30
gpt-5,gpt-5,Webmall_EndToEnd_Task8,2,45
gpt-5,gpt-5,Webmall_Find_Compatible_Products_Task1,2,30
gpt-5,gpt-5,Webmall_Find_Compatible_Products_Task2,2,60
gpt-5,gpt-5,Webmall_Find_Compatible_Products_Task3,2,30
gpt-5,gpt-5,Webmall_Find_Compatible_Products_Task4,2,60
gpt-5,gpt-5,Webmall_Find_Compatible_Products_Task5,1,15
gpt-5,gpt-5,Webmall_Single_Product_Search_Task1,1,15
gpt-5,gpt-5,Webmall_Single_Product_Search_Task10,1,15
gpt-5,gpt-5,Webmall_Single_Product_Search_Task11,1,15
gpt-5,gpt-5,Webmall_Single_Product_Search_Task12,1,15
gpt-5,gpt-5,Webmall_Single_Product_Search_Task2,1,15
gpt-5,gpt-5,Webmall_Single_Product_Search_Task3,2,30
gpt-5,gpt-5,Webmall_Single_Product_Search_Task4,1,15
gpt-5,gpt-5,Webmall_Single_Product_Search_Task5,1,15
gpt-5,gpt-5,Webmall_Single_Product_Search_Task6,1,15
gpt-5,gpt-5,Webmall_Single_Product_Search_Task7,1,15
gpt-5,gpt-5,Webmall_Single_Product_Search_Task8,1,15
gpt-5,gpt-5,Webmall_Single_Product_Search_Task9,1,15
gpt-5,gpt-5,Webmall_Substitutes_Task1,1,15
gpt-5,gpt-5,Webmall_Substitutes_Task2,1,15
gpt-5,gpt-5,Webmall_Substitutes_Task3,1,15
gpt-5,gpt-5,Webmall_Substitutes_Task4,1,12
gpt-5,gpt-5,Webmall_Substitutes_Task5,2,35
gpt-5,gpt-5,Webmall_Substitutes_Task6,1,15
gpt-5-medium,gpt-5,Webmall_Add_To_Cart_Task1,2,45
gpt-5-medium,gpt-5,Webmall_Add_To_Cart_Task2,3,60
gpt-5-medium,gpt-5,Webmall_Add_To_Cart_Task3,2,45
gpt-5-medium,gpt-5,Webmall_Add_To_Cart_Task4,1,15
gpt-5-medium,gpt-5,Webmall_Add_To_Cart_Task5,4,105
gpt-5-medium,gpt-5,Webmall_Add_To_Cart_Task6,2,45
gpt-5-medium,gpt-5,Webmall_Add_To_Cart_Task7,3,100
gpt-5-medium,gpt-5,Webmall_Best_Fit_Specific_Task1,16,430
gpt-5-medium,gpt-5,Webmall_Best_Fit_Specific_Task10,18,540
gpt-5-medium,gpt-5,Webmall_Best_Fit_Specific_Task11,4,170
gpt-5-medium,gpt-5,Webmall_Best_Fit_Specific_Task2,4,400
gpt-5-medium,gpt-5,Webmall_Best_Fit_Specific_Task3,21,540
gpt-5-medium,gpt-5,Webmall_Best_Fit_Specific_Task4,1,30
gpt-5-medium,gpt-5,Webmall_Best_Fit_Specific_Task5,13,390
gpt-5-medium,gpt-5,Webmall_Best_Fit_Specific_Task6,11,330
gpt-5-medium,gpt-5,Webmall_Best_Fit_Specific_Task7,9,210
gpt-5-medium,gpt-5,Webmall_Best_Fit_Specific_Task8,12,240
gpt-5-medium,gpt-5,Webmall_Best_Fit_Specific_Task9,34,800
gpt-5-medium,gpt-5,Webmall_Best_Fit_Vague_Task1,1,30
gpt-5-medium,gpt-5,Webmall_Best_Fit_Vague_Task2,19,285
gpt-5-medium,gpt-5,Webmall_Best_Fit_Vague_Task3,15,440
gpt-5-medium,gpt-5,Webmall_Best_Fit_Vague_Task4,1,30
gpt-5-medium,gpt-5,Webmall_Best_Fit_Vague_Task5,23,545
gpt-5-medium,gpt-5,Webmall_Best_Fit_Vague_Task6,29,516
gpt-5-medium,gpt-5,Webmall_Best_Fit_Vague_Task7,8,205
gpt-5-medium,gpt-5,Webmall_Best_Fit_Vague_Task8,10,270
gpt-5-medium,gpt-5,Webmall_Cheapest_Best_Fit_Specific_Task1,2,35
gpt-5-medium,gpt-5,Webmall_Cheapest_Best_Fit_Specific_Task10,1,30
gpt-5-medium,gpt-5,Webmall_Cheapest_Best_Fit_Specific_Task2,5,130
gpt-5-medium,gpt-5,Webmall_Cheapest_Best_Fit_Specific_Task3,1,30
gpt-5-medium,gpt-5,Webmall_Cheapest_Best_Fit_Specific_Task4,1,30
gpt-5-medium,gpt-5,Webmall_Cheapest_Best_Fit_Specific_Task5,6,150
gpt-5-medium,gpt-5,Webmall_Cheapest_Best_Fit_Specific_Task6,7,195
gpt-5-medium,gpt-5,Webmall_Cheapest_Best_Fit_Specific_Task7,3,150
gpt-5-medium,gpt-5,Webmall_Cheapest_Best_Fit_Specific_Task8,1,50
gpt-5-medium,gpt-5,Webmall_Cheapest_Best_Fit_Specific_Task9,5,135
gpt-5-medium,gpt-5,Webmall_Cheapest_Best_Fit_Vague_Task1,6,250
gpt-5-medium,gpt-5,Webmall_Cheapest_Best_Fit_Vague_Task2,11,210
gpt-5-medium,gpt-5,Webmall_Cheapest_Best_Fit_Vague_Task3,1,30
gpt-5-medium,gpt-5,Webmall_Cheapest_Best_Fit_Vague_Task4,12,250
gpt-5-medium,gpt-5,Webmall_Cheapest_Best_Fit_Vague_Task5,9,240
gpt-5-medium,gpt-5,Webmall_Cheapest_Best_Fit_Vague_Task6,4,60
gpt-5-medium,gpt-5,Webmall_Cheapest_Product_Search_Task1,1,15
gpt-5-medium,gpt-5,Webmall_Cheapest_Product_Search_Task10,1,15
gpt-5-medium,gpt-5,Webmall_Cheapest_Product_Search_Task2,9,220
gpt-5-medium,gpt-5,Webmall_Cheapest_Product_Search_Task3,1,15
gpt-5-medium,gpt-5,Webmall_Cheapest_Product_Search_Task4,3,50
gpt-5-medium,gpt-5,Webmall_Cheapest_Product_Search_Task5,3,70
gpt-5-medium,gpt-5,Webmall_Cheapest_Product_Search_Task6,1,20
gpt-5-medium,gpt-5,Webmall_Cheapest_Product_Search_Task7,23,675
gpt-5-medium,gpt-5,Webmall_Cheapest_Product_Search_Task8,4,95
gpt-5-medium,gpt-5,Webmall_Cheapest_Product_Search_Task9,1,15
gpt-5-medium,gpt-5,Webmall_Checkout_Task1,0,0
gpt-5-medium,gpt-5,Webmall_Checkout_Task2,0,0
gpt-5-medium,gpt-5,Webmall_Checkout_Task3,0,0
gpt-5-medium,gpt-5,Webmall_Checkout_Task4,0,0
gpt-5-medium,gpt-5,Webmall_Checkout_Task5,0,0
gpt-5-medium,gpt-5,Webmall_Checkout_Task6,0,0
gpt-5-medium,gpt-5,Webmall_Checkout_Task7,0,0
gpt-5-medium,gpt-5,Webmall_Checkout_Task8,0,0
gpt-5-medium,gpt-5,Webmall_EndToEnd_Task1,1,15
gpt-5-medium,gpt-5,Webmall_EndToEnd_Task2,2,45
gpt-5-medium,gpt-5,Webmall_EndToEnd_Task3,7,195
gpt-5-medium,gpt-5,Webmall_EndToEnd_Task4,1,15
gpt-5-medium,gpt-5,Webmall_EndToEnd_Task5,1,20
gpt-5-medium,gpt-5,Webmall_EndToEnd_Task6,1,15
gpt-5-medium,gpt-5,Webmall_EndToEnd_Task7,2,35
gpt-5-medium,gpt-5,Webmall_EndToEnd_Task8,2,45
gpt-5-medium,gpt-5,Webmall_Find_Compatible_Products_Task1,7,195
gpt-5-medium,gpt-5,Webmall_Find_Compatible_Products_Task2,23,438
gpt-5-medium,gpt-5,Webmall_Find_Compatible_Products_Task3,10,290
gpt-5-medium,gpt-5,Webmall_Find_Compatible_Products_Task4,11,320
gpt-5-medium,gpt-5,Webmall_Find_Compatible_Products_Task5,4,110
gpt-5-medium,gpt-5,Webmall_Single_Product_Search_Task1,4,105
gpt-5-medium,gpt-5,Webmall_Single_Product_Search_Task10,8,215
gpt-5-medium,gpt-5,Webmall_Single_Product_Search_Task11,4,95
gpt-5-medium,gpt-5,Webmall_Single_Product_Search_Task12,4,100
gpt-5-medium,gpt-5,Webmall_Single_Product_Search_Task2,1,15
gpt-5-medium,gpt-5,Webmall_Single_Product_Search_Task3,10,270
gpt-5-medium,gpt-5,Webmall_Single_Product_Search_Task4,1,30
gpt-5-medium,gpt-5,Webmall_Single_Product_Search_Task5,6,125
gpt-5-medium,gpt-5,Webmall_Single_Product_Search_Task6,2,45
gpt-5-medium,gpt-5,Webmall_Single_Product_Search_Task7,3,60
gpt-5-medium,gpt-5,Webmall_Single_Product_Search_Task8,4,85
gpt-5-medium,gpt-5,Webmall_Single_Product_Search_Task9,2,60
gpt-5-medium,gpt-5,Webmall_Substitutes_Task1,1,30
gpt-5-medium,gpt-5,Webmall_Substitutes_Task2,2,50
