task_id,task_category,type,url,seen_in_history,model,agent_type,task_description
Webmall_Add_To_Cart_Task1,Add_To_Cart,missed,https://webmall-2.informatik.uni-mannheim.de/product/gamemax-iceburg-360mm-argb-liquid-cpu-cooler-12cm-argb-pwm-fans-infinity-mirror-rgb-rotatable-pump-head,No,Sonnet,NLWeb,<task>\nFind all offers for the GameMax Iceburg 360mm ARGB Liquid CPU Cooler and add each of them to the respective shopping cart of the shop where you found the offer.\n</task>
Webmall_Add_To_Cart_Task1,Add_To_Cart,missed,https://webmall-3.informatik.uni-mannheim.de/product/gamemax-iceburg-360mm-argb-liquid-cpu-cooler-12cm-argb-pwm-fans-infinity-mirror-rgb-rotatable-pump-head,No,Sonnet,NLWeb,<task>\nFind all offers for the GameMax Iceburg 360mm ARGB Liquid CPU Cooler and add each of them to the respective shopping cart of the shop where you found the offer.\n</task>
Webmall_Add_To_Cart_Task2,Add_To_Cart,missed,https://webmall-2.informatik.uni-mannheim.de/product/asus-rog-strix-arion-lite-m-2-nvme-ssd-caddy-usb-3-2-gen2-type-c-aluminium-thermal-pads-rgb-lighting,No,Sonnet,NLWeb,<task>\nFind all offers for the Asus ROG STRIX ARION LITE M.2 NVMe SSD Caddy and add each of them to the respective shopping cart of the shop where you found the offer.\n</task>
Webmall_Add_To_Cart_Task2,Add_To_Cart,missed,https://webmall-4.informatik.uni-mannheim.de/product/asus-rog-strix-arion-lite-m-2-nvme-ssd-caddy-usb-3-2-gen2-type-c-aluminium-thermal-pads-rgb-lighting,No,Sonnet,NLWeb,<task>\nFind all offers for the Asus ROG STRIX ARION LITE M.2 NVMe SSD Caddy and add each of them to the respective shopping cart of the shop where you found the offer.\n</task>
Webmall_Add_To_Cart_Task3,Add_To_Cart,missed,https://webmall-1.informatik.uni-mannheim.de/product/kingston-fury-beast-16gb-ddr5-5600mhz-pc5-44800-cl40-1-25v-ecc-xmp-3-0-pmic-dimm-memory,No,Sonnet,NLWeb,<task>\nFind all offers for Kingston Fury Beast 16GB DDR5 and add each of them to the respective shopping cart of the shop where you found the offer.\n</task>
Webmall_Add_To_Cart_Task3,Add_To_Cart,missed,https://webmall-3.informatik.uni-mannheim.de/product/kingston-fury-beast-16gb-ddr5-4800mhz-pc5-38400-cl38-1-1v-ecc-xmp-3-0-amd-expo-pmic-dimm-memory,No,Sonnet,NLWeb,<task>\nFind all offers for Kingston Fury Beast 16GB DDR5 and add each of them to the respective shopping cart of the shop where you found the offer.\n</task>
Webmall_Add_To_Cart_Task3,Add_To_Cart,additional,https://webmall-4.informatik.uni-mannheim.de/product/samsung-16gb-ddr5-4800mhz-udimm-desktop-ram,Yes,GPT-4.1,MCP,<task>\nFind all offers for Kingston Fury Beast 16GB DDR5 and add each of them to the respective shopping cart of the shop where you found the offer.\n</task>
Webmall_Add_To_Cart_Task4,Add_To_Cart,missed,https://webmall-1.informatik.uni-mannheim.de/product/asus-pro-h610t-d4-csm-corporate-stable-model-intel-h610-1700-thin-mini-itx-2-ddr4-so-dimm-hdmi-dp-lvds-19v-dc-in-1x-m-2,No,Sonnet,NLWeb,<task>\nFind all offers for the motherboard Asus PRO H610T D4-CSM - Corporate Stable Model and add each of them to the respective shopping cart of the shop where you found the offer.\n</task>
Webmall_Add_To_Cart_Task4,Add_To_Cart,missed,https://webmall-4.informatik.uni-mannheim.de/product/asus-pro-h610t-d4-csm-corporate-stable-model-intel-h610-1700-thin-mini-itx-2-ddr4-so-dimm-hdmi-dp-lvds-19v-dc-in-1x-m-2,No,Sonnet,NLWeb,<task>\nFind all offers for the motherboard Asus PRO H610T D4-CSM - Corporate Stable Model and add each of them to the respective shopping cart of the shop where you found the offer.\n</task>
Webmall_Add_To_Cart_Task5,Add_To_Cart,missed,https://webmall-3.informatik.uni-mannheim.de/product/asus-dual-rtx4070-super-oc-white-pcie4-12gb-ddr6x-hdmi-3-dp-2550mhz-clock-overclocked,No,Sonnet,NLWeb,<task>\nFind all offers for the Asus DUAL RTX4070 SUPER OC White and add each of them to the respective shopping cart of the shop where you found the offer.\n</task>
Webmall_Add_To_Cart_Task5,Webmall_Add_To_Cart,additional,https://webmall-1.informatik.uni-mannheim.de/product/asus-dual-rtx4070-super-evo-oc-pcie4-12gb-ddr6x-hdmi-3-dp-2550mhz-clock-overclocked-white,Yes,GPT-4.1,RAG,\nFind all offers for the Asus DUAL RTX4070 SUPER OC White and add each of them to the respective shopping cart of the shop where you found the offer.\n
Webmall_Add_To_Cart_Task5,Webmall_Add_To_Cart,additional,https://webmall-1.informatik.uni-mannheim.de/product/asus-dual-rtx4070-super-evo-oc-pcie4-12gb-ddr6x-hdmi-3-dp-2550mhz-clock-overclocked-white,Yes,Sonnet,RAG,\nFind all offers for the Asus DUAL RTX4070 SUPER OC White and add each of them to the respective shopping cart of the shop where you found the offer.\n
Webmall_Add_To_Cart_Task5,Add_To_Cart,additional,https://webmall-1.informatik.uni-mannheim.de/product/asus-dual-rtx4070-super-evo-oc-pcie4-12gb-ddr6x-hdmi-3-dp-2550mhz-clock-overclocked-white,No,GPT-4.1,NLWeb,<task>\nFind all offers for the Asus DUAL RTX4070 SUPER OC White and add each of them to the respective shopping cart of the shop where you found the offer.\n</task>
Webmall_Add_To_Cart_Task5,Add_To_Cart,additional,https://webmall-1.informatik.uni-mannheim.de/product/asus-dual-rtx4070-super-evo-oc-pcie4-12gb-ddr6x-hdmi-3-dp-2550mhz-clock-overclocked-white,No,Sonnet,NLWeb,<task>\nFind all offers for the Asus DUAL RTX4070 SUPER OC White and add each of them to the respective shopping cart of the shop where you found the offer.\n</task>
Webmall_Add_To_Cart_Task5,Add_To_Cart,additional,https://webmall-1.informatik.uni-mannheim.de/product/asus-dual-rtx4070-super-evo-oc-pcie4-12gb-ddr6x-hdmi-3-dp-2550mhz-clock-overclocked-white,Yes,GPT-4.1,MCP,<task>\nFind all offers for the Asus DUAL RTX4070 SUPER OC White and add each of them to the respective shopping cart of the shop where you found the offer.\n</task>
Webmall_Add_To_Cart_Task5,Add_To_Cart,additional,https://webmall-1.informatik.uni-mannheim.de/product/asus-dual-rtx4070-super-evo-oc-pcie4-12gb-ddr6x-hdmi-3-dp-2550mhz-clock-overclocked-white,Yes,Sonnet,MCP,<task>\nFind all offers for the Asus DUAL RTX4070 SUPER OC White and add each of them to the respective shopping cart of the shop where you found the offer.\n</task>
Webmall_Add_To_Cart_Task6,Add_To_Cart,missed,https://webmall-1.informatik.uni-mannheim.de/product/asus-23-8-frameless-eye-care-monitor-va24dqsb-ips-1920-x-1080-75hz-vga-hdmi-dp-usb-hub-vesa,No,Sonnet,NLWeb,"<task>\nFind all offers for the Asus 23.8"" Frameless Eye Care Monitor (VA24DQSB) and add each of them to the respective shopping cart of the shop where you found the offer.\n</task>"
Webmall_Add_To_Cart_Task6,Add_To_Cart,missed,https://webmall-3.informatik.uni-mannheim.de/product/asus-23-8-frameless-eye-care-monitor-va24dqsb-ips-1920-x-1080-75hz-vga-hdmi-dp-usb-hub-vesa,No,Sonnet,NLWeb,"<task>\nFind all offers for the Asus 23.8"" Frameless Eye Care Monitor (VA24DQSB) and add each of them to the respective shopping cart of the shop where you found the offer.\n</task>"
Webmall_Add_To_Cart_Task7,Add_To_Cart,missed,https://webmall-1.informatik.uni-mannheim.de/product/antec-c8-argb-gaming-case-w-glass-side-front-e-atx-3x-argb-fans-argb-pwm-fan-hub-dual-chamber-mesh-panels-usb-c-black,No,Sonnet,NLWeb,<task>\nFind all offers for the Antec C8 ARGB Gaming Case and add each of them to the respective shopping cart of the shop where you found the offer.\n</task>
